[10:57:00] [INFO] received Windows console close event; shutting log-core down
[10:57:27] [INFO] received Windows console close event; shutting log-core down
[10:57:46] [INFO] received Windows console close event; shutting log-core down
[10:59:19] [INFO] received Windows console close event; shutting log-core down
[11:14:43] [INFO] received Windows console close event; shutting log-core down
[11:16:18] [INFO] received Windows console close event; shutting log-core down
[11:17:45] [INFO] received Windows console close event; shutting log-core down
[11:18:07] [INFO] received Windows console close event; shutting log-core down
[11:22:19] [INFO] received Windows console close event; shutting log-core down
[11:23:28] [INFO] received Windows console close event; shutting log-core down
[11:27:21] [INFO] received Windows console close event; shutting log-core down
[11:49:26] [INFO] received Windows console close event; shutting log-core down
[11:52:07] [INFO] received Windows console close event; shutting log-core down
[11:53:16] [INFO] received Windows console close event; shutting log-core down
[11:53:52] [INFO] received Windows console close event; shutting log-core down
[11:55:53] [INFO] received Windows console close event; shutting log-core down
[11:58:41] [INFO] received Windows console close event; shutting log-core down
[12:00:01] [INFO] received Windows console close event; shutting log-core down
[12:07:56] [INFO] received Windows console close event; shutting log-core down
[12:09:09] [INFO] received Windows console close event; shutting log-core down
[12:09:40] [INFO] received Windows console close event; shutting log-core down
[12:12:12] [INFO] received Windows console close event; shutting log-core down
[12:14:00] [INFO] received Windows console close event; shutting log-core down
[12:15:01] [INFO] received Windows console close event; shutting log-core down
[12:17:23] [INFO] received Windows console close event; shutting log-core down
[12:18:02] [INFO] received Windows console close event; shutting log-core down
[12:19:31] [INFO] received Windows console close event; shutting log-core down
[12:19:36] [INFO] received Windows console close event; shutting log-core down
[12:19:53] [INFO] received Windows console close event; shutting log-core down
[12:20:43] [INFO] received Windows console close event; shutting log-core down
[12:23:03] [INFO] received Windows console close event; shutting log-core down
[12:23:35] [INFO] received Windows console close event; shutting log-core down
[12:23:38] [INFO] received Windows console close event; shutting log-core down
[12:23:40] [INFO] received Windows console close event; shutting log-core down
[12:24:05] [INFO] received Windows console close event; shutting log-core down
[12:24:08] [INFO] received Windows console close event; shutting log-core down
[12:25:42] [INFO] received Windows console close event; shutting log-core down
[12:26:39] [INFO] received Windows console close event; shutting log-core down
[12:26:42] [INFO] received Windows console close event; shutting log-core down
[12:26:53] [INFO] received Windows console close event; shutting log-core down
[12:27:04] [INFO] received Windows console close event; shutting log-core down
[12:37:51] [INFO] received Windows console close event; shutting log-core down
[12:37:53] [INFO] received Windows console close event; shutting log-core down
[12:39:33] [INFO] received Windows console close event; shutting log-core down
[12:48:17] [INFO] received Windows console close event; shutting log-core down
[12:49:33] [INFO] received Windows console close event; shutting log-core down
[13:04:45] [INFO] received Windows console close event; shutting log-core down
[13:06:36] [INFO] received Windows console close event; shutting log-core down
[13:16:27] [INFO] received Windows console close event; shutting log-core down
[13:17:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13:20:41] [INFO] received Windows console close event; shutting log-core down
[13:21:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13:23:39] [INFO] received Windows console close event; shutting log-core down
[13:24:50] [INFO] received Windows console close event; shutting log-core down
[13:25:40] [INFO] received Windows console close event; shutting log-core down
[13:28:11] [INFO] received Windows console close event; shutting log-core down
[16:36:21] [INFO] received Windows console close event; shutting log-core down
[08:02:14] [INFO] received Windows console close event; shutting log-core down
